Customer_ID,Customer_Name,Age,City,Area,Tenure_Months,Items_Bought,Preferred_Category,Orders_Per_Month,Avg_Order_Value,Monthly_Spend,Payment_Method,Wallet_Usage,UPI_Usage,COD_Usage,Distance_km,Delivery_Time_Avg,Late_Delivery_Count,Avg_Rating,Complaints_Count,Refund_Amount,High_Value_Customer
C000015,Diya,41,Pune,Adyar,52,Electronics Accessories,Electronics,33,3775,124575,Card,11541,79783,8303,14.34,60,5,4.2,5,16982,0
C000016,Aishwarya,52,Hyderabad,Anna Nagar,59,Baby Care Products,Snacks,20,6375,127500,Card,5282,25815,9379,12.53,49,15,1.9,8,19929,0
C000017,Diya,18,Hyderabad,OMR,21,Electronics Accessories,Grocery,39,5943,231777,UPI,19733,33767,10184,8.26,64,12,1.9,3,4952,1
C000018,Ishaan,47,Hyderabad,Chromepet,17,Personal Care Items,Household,12,2354,28248,Wallet,20469,66635,7738,3.35,13,4,1.1,3,14321,0
C000019,Sneha,45,Mumbai,T Nagar,6,"Milk, Bread, Eggs",Bakery,21,4894,102774,UPI,29048,17230,5512,8.78,14,7,4.1,10,5533,0
C000020,Rohan,44,Bangalore,Velachery,38,Personal Care Items,Household,39,2741,106899,NetBanking,11305,9142,524,3.55,63,15,1.9,8,7884,0
C000021,Rohan,24,Mumbai,Velachery,43,Snacks and Beverages,Electronics,1,5775,5775,COD,3132,59627,4605,11.72,47,1,4.4,10,8266,0
C000022,Karthik,35,Hyderabad,Chromepet,31,Frozen Foods,Bakery,20,5913,118260,NetBanking,11175,33238,19283,5.03,45,1,4.2,10,19974,0
C000023,Sai,45,Mumbai,Velachery,40,"Rice, Dal, Cooking Oil",Baby Care,11,836,9196,Card,26258,47204,7210,10.71,63,1,3.3,5,12557,0
C000024,Saanvi,47,Bangalore,T Nagar,30,Fruits and Vegetables,Personal Care,22,940,20680,UPI,3000,4747,17267,6.02,17,0,3.1,3,15538,0
C000025,Saanvi,40,Chennai,Mylapore,58,Cleaning Supplies,Baby Care,30,6154,184620,Wallet,20796,4732,11822,4.49,50,15,4.5,7,6768,1
C000026,Aarav,52,Mumbai,Porur,39,Fruits and Vegetables,Beverages,30,5220,156600,Card,23017,5954,11232,10.71,28,9,1.9,5,2197,1
C000027,Aarav,23,Pune,Mylapore,60,Cleaning Supplies,Personal Care,28,7644,214032,NetBanking,28966,30898,15353,2.62,56,6,2.4,2,6635,1
C000028,Ishaan,40,Bangalore,Perungudi,29,Personal Care Items,Dairy,26,7338,190788,NetBanking,14734,75765,7811,2.22,69,0,1.9,4,17585,1
C000029,Lakshmi,54,Bangalore,Velachery,13,Personal Care Items,Beverages,19,3898,74062,NetBanking,433,10018,7870,12.2,49,9,1.7,6,12428,0
C000030,Krishna,56,Bangalore,Adyar,31,Fruits and Vegetables,Fruits,27,931,25137,COD,822,52541,12327,5.19,14,12,4.2,5,10474,0
C000031,Lakshmi,49,Mumbai,Perungudi,9,Baby Care Products,Dairy,38,2219,84322,COD,7670,69889,12740,3.24,25,5,3.8,1,13103,0
C000032,Meera,31,Bangalore,T Nagar,58,Bakery Items,Personal Care,20,1754,35080,Wallet,682,50596,15679,11.08,66,15,2,9,14877,0
C000033,Ishaan,55,Mumbai,Chromepet,51,Cleaning Supplies,Snacks,16,671,10736,Card,15617,56086,780,1.98,41,2,4,1,6945,0
C000034,Saanvi,61,Pune,Adyar,6,"Rice, Dal, Cooking Oil",Grocery,10,828,8280,Wallet,20533,54894,11833,6.52,17,12,3.5,4,6353,0
C000035,Nisha,59,Chennai,Mylapore,60,Electronics Accessories,Fruits,24,7176,172224,Wallet,16514,56446,18693,13.74,33,6,4.5,9,12362,1
C000036,Priya,23,Chennai,Porur,34,Cleaning Supplies,Dairy,17,3877,65909,NetBanking,23832,79165,2532,8.82,33,2,4.9,9,3667,0
C000037,Karthik,22,Mumbai,Tambaram,9,"Milk, Bread, Eggs",Personal Care,18,7468,134424,Wallet,29811,75011,8376,8.21,66,13,2.9,10,17550,0
C000038,Rohan,18,Pune,Tambaram,37,"Milk, Bread, Eggs",Grocery,16,5490,87840,COD,14791,55392,783,5.64,15,7,3.4,4,633,0
C000039,Aishwarya,29,Chennai,Adyar,48,Personal Care Items,Grocery,22,5315,116930,UPI,13477,56624,2925,9.98,44,4,1.3,9,9026,0
C000040,Nisha,48,Chennai,OMR,9,"Rice, Dal, Cooking Oil",Baby Care,29,2329,67541,COD,4205,16449,13703,14.77,46,4,1,5,10260,0
C000041,Meera,35,Hyderabad,Velachery,45,Electronics Accessories,Baby Care,22,5314,116908,NetBanking,22887,10895,19355,5.28,36,2,3.1,0,2580,0
C000042,Sai,52,Chennai,Perungudi,31,Baby Care Products,Snacks,13,6569,85397,COD,11310,41113,966,11.26,29,7,4.3,7,19101,0
C000043,Aishwarya,30,Hyderabad,Mylapore,23,Electronics Accessories,Personal Care,25,5961,149025,NetBanking,12774,19313,9617,14.85,12,10,3.3,10,440,0
C000044,Ishaan,64,Delhi,Adyar,14,Electronics Accessories,Bakery,30,4941,148230,Card,19679,61300,8995,0.92,31,3,2.9,6,18258,0
C000045,Priya,42,Bangalore,Velachery,60,Fruits and Vegetables,Grocery,9,7678,69102,Wallet,6486,16669,10890,1.54,60,9,1.3,5,11350,0
C000046,Aarav,54,Bangalore,Anna Nagar,23,"Rice, Dal, Cooking Oil",Baby Care,25,3985,99625,Wallet,29514,10034,13791,11.81,14,2,4.2,8,11139,0
C000047,Vihaan,57,Pune,Velachery,26,Snacks and Beverages,Dairy,37,1195,44215,Card,20961,10155,4992,12.15,27,12,2.4,8,10707,0
C000048,Karthik,57,Chennai,Tambaram,13,Snacks and Beverages,Snacks,9,7416,66744,Wallet,4490,4218,12007,2.51,11,15,4.7,10,19969,0
C000049,Ishaan,65,Delhi,Velachery,30,Personal Care Items,Fruits,36,7681,276516,Card,22437,53782,6403,12.21,46,15,3.7,5,9631,1
C000050,Ira,30,Bangalore,Chromepet,48,"Rice, Dal, Cooking Oil",Bakery,38,5881,223478,NetBanking,15464,14606,3300,10.43,62,11,2.9,4,16254,1
C000051,Karthik,36,Delhi,T Nagar,20,Bakery Items,Household,12,3814,45768,Wallet,17121,42970,10813,10.64,31,9,2.6,0,421,0
C000052,Ananya,53,Pune,Adyar,23,Baby Care Products,Bakery,12,7344,88128,Card,2547,36905,8600,1.06,59,2,4.6,9,14146,0
C000053,Diya,57,Chennai,Tambaram,42,Snacks and Beverages,Snacks,21,4859,102039,NetBanking,5328,15801,11702,0.54,60,5,2.1,7,17702,0
C000054,Sneha,60,Mumbai,Perungudi,17,Personal Care Items,Personal Care,7,6809,47663,Card,23716,29273,14141,7.63,34,8,4.6,7,3041,0
C000055,Ira,27,Delhi,Adyar,29,Cleaning Supplies,Grocery,30,6761,202830,Card,21866,32395,16188,4.91,35,13,3.7,5,6827,1
C000056,Sai,36,Bangalore,Mylapore,55,"Rice, Dal, Cooking Oil",Personal Care,3,3591,10773,UPI,2236,47410,1343,10.04,53,9,1.1,0,8245,0
C000057,Aditya,40,Delhi,Anna Nagar,29,Frozen Foods,Fruits,36,1791,64476,NetBanking,20588,53469,11135,7.93,42,3,3.6,2,15061,0
C000058,Krishna,52,Bangalore,Tambaram,43,Snacks and Beverages,Personal Care,13,2044,26572,COD,4832,57378,6034,6.2,34,4,3.7,9,4008,0
C000059,Vihaan,31,Pune,OMR,10,Cleaning Supplies,Snacks,21,3011,63231,NetBanking,25815,16496,5074,5.44,35,11,4.6,0,18922,0
C000060,Rohan,46,Mumbai,Anna Nagar,18,Personal Care Items,Dairy,18,2781,50058,NetBanking,8652,42309,1177,6.59,70,10,2.6,1,1841,0
C000061,Krishna,19,Pune,T Nagar,35,Snacks and Beverages,Grocery,4,6779,27116,NetBanking,23677,55945,2818,11.03,39,9,4.5,3,16941,0
C000062,Rohan,40,Mumbai,Adyar,45,Fruits and Vegetables,Dairy,32,6109,195488,Wallet,20388,76397,18751,14.69,44,4,4.2,6,12182,1
C000063,Sai,21,Mumbai,OMR,39,Fruits and Vegetables,Dairy,38,7557,287166,Card,29971,14830,18579,5.8,30,6,3.4,0,10603,1
C000064,Nisha,42,Delhi,Tambaram,33,Personal Care Items,Dairy,5,3576,17880,Wallet,857,73528,8782,3.62,34,8,1.6,8,15724,0
C000065,Sai,31,Bangalore,Chromepet,21,Baby Care Products,Dairy,37,1545,57165,COD,25675,30098,7613,6.71,57,7,3.7,5,11630,0
C000066,Meera,61,Chennai,T Nagar,21,Fruits and Vegetables,Snacks,39,3341,130299,Card,25323,12638,12542,12.95,39,5,4.1,2,2584,0
C000067,Ira,60,Pune,Perungudi,29,Fruits and Vegetables,Fruits,17,3083,52411,NetBanking,10624,38040,11875,10.13,46,8,2.8,10,17212,0
C000068,Sneha,55,Chennai,T Nagar,52,Snacks and Beverages,Household,3,5270,15810,NetBanking,15126,20957,8548,11.41,10,15,1.4,2,12689,0
C000069,Lakshmi,60,Mumbai,Perungudi,7,Bakery Items,Household,32,4305,137760,Card,5197,56915,3460,5.23,42,2,4.1,9,14305,0
C000070,Meera,65,Hyderabad,Velachery,41,Bakery Items,Electronics,15,7144,107160,Wallet,3717,42620,11306,12.8,40,4,2.2,5,7709,0
C000071,Karthik,32,Chennai,Mylapore,57,Baby Care Products,Baby Care,13,4503,58539,Card,21509,12275,4416,5.99,47,10,3.7,4,4401,0
C000072,Ishaan,25,Mumbai,Mylapore,52,Personal Care Items,Grocery,27,7283,196641,COD,18849,61582,7816,10.8,30,15,2.6,8,1888,1
C000073,Meera,59,Delhi,Adyar,3,Snacks and Beverages,Household,22,1146,25212,UPI,14920,54956,14276,13.14,38,4,1.9,5,3887,0
C000074,Vihaan,19,Delhi,Velachery,22,"Milk, Bread, Eggs",Grocery,2,2336,4672,Card,9689,72013,1466,12.76,12,10,1.7,9,3502,0
C000075,Aarav,28,Chennai,Tambaram,36,Snacks and Beverages,Electronics,38,1503,57114,NetBanking,25106,78343,18426,2,23,9,1.6,6,10812,0
C000076,Ishaan,34,Mumbai,Chromepet,53,Frozen Foods,Household,12,1099,13188,UPI,3854,12767,5570,8.12,10,14,4,2,13931,0
C000077,Priya,47,Chennai,T Nagar,55,Fruits and Vegetables,Baby Care,13,3126,40638,UPI,26259,31779,9810,0.88,67,15,4.7,2,57,0
C000078,Aishwarya,27,Chennai,Mylapore,51,"Rice, Dal, Cooking Oil",Baby Care,32,6739,215648,Card,200,75122,14701,4.27,68,1,4.3,5,13021,1
C000079,Krishna,61,Mumbai,Anna Nagar,35,Fruits and Vegetables,Personal Care,11,3895,42845,COD,3841,34668,16969,12.36,53,5,3.9,0,6107,0
C000080,Vihaan,31,Delhi,Velachery,19,"Milk, Bread, Eggs",Household,27,1960,52920,Card,18271,34681,17904,5.48,61,9,4.3,9,11872,0
C000081,Aditya,49,Pune,Anna Nagar,1,Bakery Items,Bakery,33,4182,138006,NetBanking,209,65110,6802,14.51,37,10,2.7,10,7526,0
C000082,Reyansh,43,Hyderabad,Tambaram,35,Cleaning Supplies,Household,11,3578,39358,Card,15075,52972,18974,9.24,70,10,3,1,18685,0
C000083,Karthik,35,Chennai,Tambaram,47,"Milk, Bread, Eggs",Beverages,5,1673,8365,COD,13795,38806,7407,12.05,35,15,4.2,1,7756,0
C000084,Vihaan,57,Delhi,OMR,40,Fruits and Vegetables,Baby Care,16,5723,91568,NetBanking,7431,78595,2048,7.65,24,4,3.9,4,18764,0
C000085,Lakshmi,33,Bangalore,Anna Nagar,17,Electronics Accessories,Household,4,7066,28264,Wallet,9322,6395,7273,14.79,53,14,1.3,7,4577,0
C000086,Aditya,45,Pune,Velachery,57,Fruits and Vegetables,Electronics,31,2585,80135,COD,3768,2616,8293,3.83,66,11,1.6,5,19807,0
C000087,Aishwarya,18,Bangalore,Chromepet,32,Frozen Foods,Beverages,16,3094,49504,COD,9472,24025,14920,0.72,29,9,1.3,6,3126,0
C000088,Vihaan,22,Bangalore,Velachery,56,Personal Care Items,Fruits,14,4137,57918,NetBanking,11254,17856,7160,13.92,40,6,1.6,0,3084,0
C000089,Karthik,43,Chennai,Mylapore,11,Snacks and Beverages,Bakery,8,6537,52296,NetBanking,27789,35277,4559,14.54,54,14,4.9,5,515,0
C000090,Karthik,59,Delhi,Velachery,19,Fruits and Vegetables,Bakery,20,7539,150780,Card,21911,75444,5721,14.78,58,9,2.9,8,14463,1
C000091,Aishwarya,42,Hyderabad,Perungudi,29,Personal Care Items,Baby Care,24,1260,30240,Wallet,10403,11054,9552,11.71,65,7,2.5,5,10356,0
C000092,Reyansh,26,Mumbai,Perungudi,7,"Rice, Dal, Cooking Oil",Grocery,31,1659,51429,COD,9957,78063,6449,5.85,23,8,4.8,6,2740,0
C000093,Saanvi,44,Pune,Porur,57,Bakery Items,Household,37,797,29489,UPI,11773,34560,7868,9.73,12,11,3.6,4,5979,0
C000094,Meera,46,Bangalore,Tambaram,27,Cleaning Supplies,Electronics,39,1190,46410,UPI,674,42387,17209,8.46,54,9,2.3,6,14609,0
C000095,Aishwarya,30,Mumbai,Velachery,58,Snacks and Beverages,Baby Care,7,3618,25326,UPI,11762,6484,6800,12.6,48,11,3.9,7,9714,0
C000096,Ananya,41,Chennai,T Nagar,25,Baby Care Products,Household,18,501,9018,UPI,7545,2298,4713,12.62,59,7,1.8,10,3519,0
C000097,Krishna,36,Delhi,Velachery,45,Fruits and Vegetables,Snacks,21,6332,132972,Wallet,13140,10086,421,5.47,14,4,3.3,4,4025,0
C000098,Aishwarya,65,Hyderabad,T Nagar,10,Frozen Foods,Dairy,37,7651,283087,Wallet,4060,52178,6476,6.35,46,1,1.7,6,16260,1
C000099,Meera,40,Chennai,Mylapore,21,Electronics Accessories,Baby Care,19,6657,126483,Card,13078,64950,14980,9.61,57,12,3.4,3,303,0
C000100,Meera,54,Chennai,T Nagar,26,Snacks and Beverages,Household,14,4636,64904,Wallet,16376,23085,13947,4.5,16,8,3.1,10,3741,0
C000101,Rohan,53,Pune,Chromepet,20,Baby Care Products,Baby Care,17,1721,29257,Card,9106,39855,5602,11.65,66,7,1.4,8,2392,0
C000102,Aishwarya,20,Bangalore,Velachery,11,Baby Care Products,Bakery,38,5018,190684,COD,8434,29357,3367,12.11,39,14,3.6,9,3431,1
C000103,Priya,56,Bangalore,T Nagar,19,Fruits and Vegetables,Snacks,8,1244,9952,UPI,6112,75174,12829,7.24,54,0,2,5,733,0
C000104,Aarav,22,Chennai,Anna Nagar,28,Cleaning Supplies,Dairy,32,2575,82400,NetBanking,3571,56091,19009,13.3,31,10,4.7,2,18940,0
C000105,Aditya,25,Hyderabad,Porur,54,Baby Care Products,Beverages,29,4693,136097,UPI,20640,78177,7431,7.96,64,1,1,10,6002,0
C000106,Aarav,21,Pune,T Nagar,58,"Milk, Bread, Eggs",Bakery,33,2304,76032,Card,22765,37474,3137,11.6,54,7,4.9,5,11071,0
C000107,Reyansh,42,Bangalore,Tambaram,22,Cleaning Supplies,Snacks,31,4562,141422,UPI,28253,31391,17534,1.53,45,2,3.6,0,19019,0
C000108,Aditya,31,Bangalore,OMR,1,Snacks and Beverages,Household,37,3758,139046,COD,23906,60076,12047,13.97,39,2,3.4,6,413,0
C000109,Karthik,30,Bangalore,Anna Nagar,26,Fruits and Vegetables,Dairy,20,6791,135820,Wallet,20138,17021,12741,7.12,61,2,1.7,7,11543,0
C000110,Reyansh,33,Bangalore,Mylapore,37,Cleaning Supplies,Household,6,3381,20286,Wallet,17227,69366,10332,2.57,59,1,4.6,1,19200,0
C000111,Ishaan,63,Hyderabad,T Nagar,12,"Milk, Bread, Eggs",Baby Care,20,3206,64120,Wallet,5689,56685,918,11.12,18,9,1.7,5,11415,0
C000112,Meera,46,Delhi,Perungudi,15,"Milk, Bread, Eggs",Baby Care,26,3076,79976,Wallet,29881,33731,7411,0.6,27,15,1.6,8,12051,0
C000113,Ananya,26,Delhi,Mylapore,26,Personal Care Items,Electronics,22,7562,166364,NetBanking,11754,16041,12185,11.38,22,11,3.7,5,19521,1
C000114,Diya,44,Pune,Velachery,13,Personal Care Items,Personal Care,29,6306,182874,Card,12663,48190,1501,9.92,22,7,4.3,9,2838,1
C000115,Priya,42,Mumbai,Tambaram,5,Personal Care Items,Grocery,12,4891,58692,UPI,1545,21551,3428,1.09,29,14,2,10,3677,0
C000116,Lakshmi,45,Chennai,Tambaram,40,Baby Care Products,Electronics,14,6666,93324,Wallet,5,20842,6617,5.96,32,13,2.6,0,19426,0
C000117,Arjun,57,Chennai,Adyar,32,Baby Care Products,Baby Care,10,7816,78160,UPI,16749,22663,12710,1.28,41,5,4.3,5,11752,0
C000118,Rohan,22,Chennai,T Nagar,43,Fruits and Vegetables,Fruits,26,3927,102102,UPI,8988,55386,3203,6.74,49,6,3.6,7,10805,0
C000119,Ananya,43,Delhi,Anna Nagar,43,Electronics Accessories,Personal Care,3,1873,5619,UPI,3488,73144,19697,10.81,65,0,3.3,5,9129,0
C000120,Aarav,60,Mumbai,Chromepet,15,Baby Care Products,Dairy,21,6049,127029,Wallet,20670,11514,15109,5.47,44,2,3.3,3,3988,0
C000121,Sneha,40,Delhi,T Nagar,57,Baby Care Products,Bakery,34,952,32368,COD,20134,27135,13668,13.98,35,2,3.6,2,3709,0
C000122,Ira,47,Mumbai,Velachery,8,Frozen Foods,Fruits,15,2298,34470,Card,8853,35826,6660,3.73,17,15,1.8,5,16485,0
C000123,Ira,42,Hyderabad,Perungudi,6,"Rice, Dal, Cooking Oil",Grocery,5,6614,33070,COD,6309,75676,13930,1.74,70,13,1.3,6,6194,0
C000124,Nisha,49,Hyderabad,OMR,10,Cleaning Supplies,Beverages,14,4688,65632,NetBanking,20521,39145,11233,1.48,68,11,1.8,9,9276,0
C000125,Saanvi,40,Hyderabad,Chromepet,13,Bakery Items,Grocery,3,1226,3678,COD,13729,10808,4633,6.54,49,13,4.9,10,3282,0
C000126,Saanvi,47,Hyderabad,Chromepet,50,"Rice, Dal, Cooking Oil",Grocery,15,2660,39900,COD,19987,7782,16250,9.27,59,6,1.7,1,18148,0
C000127,Rohan,41,Pune,Mylapore,56,Bakery Items,Electronics,39,2772,108108,Wallet,12689,1608,4127,11.07,49,6,1.4,0,6247,0
C000128,Ira,36,Hyderabad,Mylapore,9,Fruits and Vegetables,Fruits,39,7320,285480,Wallet,25747,6097,3299,12.18,62,6,3.6,1,18385,1
C000129,Priya,54,Hyderabad,Adyar,14,Frozen Foods,Personal Care,38,6316,240008,Wallet,10802,47837,18504,10.87,36,13,2.1,10,18571,1
C000130,Sneha,60,Delhi,T Nagar,17,Personal Care Items,Electronics,10,3864,38640,Wallet,20429,73458,14082,8.42,50,12,1.3,3,9126,0
C000131,Ananya,65,Hyderabad,Velachery,18,Frozen Foods,Electronics,35,2741,95935,COD,27118,71659,16256,4,15,3,4.4,8,17124,0
C000132,Reyansh,25,Mumbai,Perungudi,35,Snacks and Beverages,Bakery,40,3373,134920,Card,15689,70939,4379,9.52,11,8,2.8,5,3100,0
C000133,Aditya,65,Delhi,Tambaram,21,"Milk, Bread, Eggs",Fruits,9,3137,28233,Card,16424,13532,2114,9.55,34,8,3.3,6,2141,0
C000134,Aditya,57,Chennai,Chromepet,36,Baby Care Products,Bakery,40,706,28240,UPI,25501,36386,19910,8.89,20,7,1.2,9,2005,0
C000135,Lakshmi,26,Mumbai,Tambaram,50,Electronics Accessories,Fruits,8,7556,60448,NetBanking,26225,21068,6228,11.56,24,14,3.6,7,6808,0
C000136,Saanvi,62,Delhi,Tambaram,51,Cleaning Supplies,Grocery,25,5260,131500,COD,29602,49148,14343,11.15,14,14,2.3,10,1536,0
C000137,Sneha,28,Mumbai,T Nagar,21,Fruits and Vegetables,Snacks,24,4650,111600,Card,11133,44999,12642,10.63,26,13,1.3,8,12781,0
C000138,Sneha,57,Mumbai,Porur,39,"Milk, Bread, Eggs",Electronics,24,2999,71976,COD,21601,2818,4621,5.46,19,10,1.7,8,13507,0
C000139,Krishna,52,Hyderabad,Anna Nagar,30,Bakery Items,Fruits,25,2993,74825,Card,19371,38333,19027,10.75,19,0,2.4,7,925,0
C000140,Sneha,43,Pune,Tambaram,20,Cleaning Supplies,Electronics,10,6508,65080,NetBanking,22354,14318,16834,7.9,24,10,3.6,8,6906,0
C000141,Rohan,29,Hyderabad,OMR,40,Personal Care Items,Fruits,24,3697,88728,NetBanking,3035,50434,6429,14.5,67,14,2.4,5,12722,0
C000142,Sneha,42,Chennai,Chromepet,43,"Milk, Bread, Eggs",Grocery,7,7852,54964,Card,25241,74794,19303,14.76,52,9,4.9,1,6359,0
C000143,Priya,18,Mumbai,Adyar,44,Electronics Accessories,Dairy,13,7714,100282,UPI,25715,15426,19521,3.21,68,10,1.3,10,3784,0
C000144,Reyansh,32,Bangalore,Tambaram,7,Bakery Items,Personal Care,4,4151,16604,Wallet,23806,32027,2693,11.06,28,11,3.6,7,11384,0
C000145,Rohan,42,Bangalore,Porur,50,Electronics Accessories,Fruits,32,6308,201856,COD,22495,15530,995,11.92,12,15,2.9,2,8139,1
C000146,Reyansh,62,Delhi,Velachery,15,Frozen Foods,Household,24,836,20064,COD,8373,29511,3527,0.64,40,5,2.4,2,3715,0
C000147,Lakshmi,19,Mumbai,Velachery,35,"Milk, Bread, Eggs",Grocery,11,2858,31438,COD,18689,50401,16972,6.88,62,3,4.6,1,18271,0
C000148,Priya,49,Hyderabad,T Nagar,31,Fruits and Vegetables,Bakery,36,3100,111600,COD,12628,9965,18073,4.44,20,15,1.3,3,4778,0
C000149,Lakshmi,25,Hyderabad,OMR,56,"Rice, Dal, Cooking Oil",Fruits,16,563,9008,UPI,20525,33813,5209,3.27,43,7,3.3,7,13324,0
C000150,Aarav,21,Hyderabad,Adyar,37,Cleaning Supplies,Grocery,3,539,1617,UPI,11660,2860,14639,5.1,63,7,1.2,2,9682,0
C000151,Vihaan,62,Pune,Adyar,26,Bakery Items,Beverages,31,2469,76539,COD,26475,56108,1002,4.94,48,10,4.5,7,430,0
C000152,Sneha,30,Mumbai,T Nagar,43,Personal Care Items,Household,30,3713,111390,Card,6620,59825,14487,10.19,59,6,5,2,19975,0
C000153,Diya,21,Delhi,Chromepet,15,Electronics Accessories,Snacks,5,841,4205,UPI,8610,6383,9085,8.33,37,4,1.5,8,7804,0
C000154,Reyansh,46,Bangalore,Velachery,53,Fruits and Vegetables,Fruits,33,4869,160677,NetBanking,1722,72793,8364,5.55,47,6,3.9,7,6146,1
C000155,Reyansh,34,Hyderabad,Mylapore,12,Snacks and Beverages,Fruits,21,7213,151473,Card,11484,19704,4162,0.83,67,14,3,9,3300,1
C000156,Rohan,40,Delhi,Perungudi,51,Personal Care Items,Grocery,28,1290,36120,Card,20209,3984,15452,13.01,55,13,2.4,9,308,0
C000157,Karthik,49,Chennai,Adyar,2,Cleaning Supplies,Dairy,22,5714,125708,UPI,9949,51111,9787,1.13,70,1,3.5,2,10601,0
C000158,Sneha,32,Chennai,Perungudi,53,Snacks and Beverages,Dairy,7,6942,48594,Wallet,8083,29475,14538,6.23,32,1,2.1,1,6858,0
C000159,Saanvi,38,Mumbai,T Nagar,9,"Rice, Dal, Cooking Oil",Beverages,16,5626,90016,COD,10960,54470,14966,8.54,60,0,2.9,0,5146,0
C000160,Priya,49,Bangalore,Tambaram,23,Fruits and Vegetables,Bakery,6,6867,41202,NetBanking,1940,16448,17632,8.37,59,11,4.4,1,17985,0
C000161,Ishaan,32,Chennai,Perungudi,9,Fruits and Vegetables,Personal Care,4,1160,4640,COD,25643,17462,12564,11.18,13,3,4.4,2,1025,0
C000162,Rohan,22,Mumbai,Anna Nagar,50,Electronics Accessories,Beverages,21,5379,112959,COD,17408,30492,8797,2.52,24,9,3.4,4,2301,0
C000163,Arjun,55,Delhi,Tambaram,19,"Rice, Dal, Cooking Oil",Personal Care,38,6833,259654,NetBanking,25572,64870,5457,6.18,12,3,2.2,7,2664,1
C000164,Ishaan,42,Mumbai,Tambaram,3,"Rice, Dal, Cooking Oil",Beverages,39,7483,291837,UPI,29878,62462,2978,10.7,38,5,4.7,3,14772,1
C000165,Lakshmi,59,Delhi,Perungudi,58,Personal Care Items,Snacks,31,708,21948,COD,23313,37709,3214,13.4,15,11,1.2,10,10724,0
C000166,Sneha,38,Mumbai,Adyar,21,Electronics Accessories,Bakery,16,7791,124656,COD,28098,31988,17901,2.03,32,13,4.4,7,11313,0
C000167,Ira,54,Hyderabad,Mylapore,37,Electronics Accessories,Beverages,15,5379,80685,NetBanking,29473,32997,10621,9.86,19,14,4.3,6,12966,0
C000168,Krishna,48,Mumbai,Tambaram,33,Fruits and Vegetables,Beverages,8,2414,19312,Card,3197,69734,6131,11.19,12,11,4.9,8,3034,0
C000169,Sneha,20,Pune,T Nagar,47,Cleaning Supplies,Personal Care,29,774,22446,UPI,16905,37862,19412,13.81,42,15,3.2,7,1960,0
C000170,Nisha,21,Mumbai,T Nagar,43,Personal Care Items,Beverages,31,1221,37851,Card,17512,3886,7445,1.75,42,4,4.4,9,10691,0
C000171,Sai,64,Hyderabad,Porur,14,Cleaning Supplies,Personal Care,28,1149,32172,Card,4601,23436,9337,14.39,42,0,1.6,2,8992,0
